,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,grade,sqft_above,sqft_basement,yr_built,yr_renovated,zipcode,lat,long,sqft_living15,sqft_lot15
price,1.0,0.30307327110662163,0.5262145523655182,0.7045573277321442,0.0867701876992846,0.25832204905504785,0.27128421429695443,0.3881992446753339,0.032884690946629186,0.6606852478793308,0.6121408636101058,0.31367407444506473,0.04269307735154494,0.11858377179051906,-0.04315280536541862,0.3087310438953097,0.015185786469497014,0.5796868259540392,0.07726972942061125
bedrooms,0.30307327110662163,1.0,0.5092671977676023,0.5716931994735187,0.024211850646665173,0.17721046030219936,-0.007650594440573472,0.07840588943054465,0.02514806595942441,0.3484001938164328,0.47183827286919583,0.2981344213223604,0.1509413394643833,0.006456663000281474,-0.14353587649180827,-0.0063357721439079384,0.12469769079617148,0.3823670867625231,0.025264059495790407
bathrooms,0.5262145523655182,0.5092671977676023,1.0,0.7537939823186023,0.08547124460113045,0.5029059302304028,0.07326821463967009,0.1810786954738262,-0.13082994110294172,0.6621060992543394,0.685256986052881,0.2768113047158663,0.5029303303707764,0.040729790868700204,-0.19330894038674346,0.032828400465910616,0.21821055659164085,0.5660400784482044,0.0788823278371931
sqft_living,0.7045573277321442,0.5716931994735187,0.7537939823186023,1.0,0.17160222032701802,0.3576553099110597,0.11043555416163282,0.28175843119009375,-0.06171754386433617,0.760478910842287,0.8760764648883311,0.4305382016027179,0.30807345033235856,0.04609461047991123,-0.19228610123300732,0.058841760457725316,0.23450080864774422,0.7556158876650457,0.17738708568684555
sqft_lot,0.0867701876992846,0.024211850646665173,0.08547124460113045,0.17160222032701802,1.0,-0.005474228727618699,0.03114390116950987,0.07172707754626792,-0.012745063815801882,0.1126420257805567,0.18085422063621145,0.016568721259495062,0.056150500483215876,0.0054495927544778045,-0.1329344048702194,-0.08762256363479463,0.23417854456764517,0.1544072987107686,0.6891652487739144
floors,0.25832204905504785,0.17721046030219936,0.5029059302304028,0.3576553099110597,-0.005474228727618699,1.0,0.021685125957339332,0.023192066884379133,-0.260335505936083,0.4578876716424259,0.527335650117976,-0.23699851412381912,0.4842481876598857,-0.0008380971738502647,-0.0553112192984765,0.0566460688025847,0.1264964235319204,0.27923942596344353,-0.015676945471118545
waterfront,0.27128421429695443,-0.007650594440573472,0.07326821463967009,0.11043555416163282,0.03114390116950987,0.021685125957339332,1.0,0.39450239843658436,0.018100847595946296,0.08436967400434563,0.07961267575905433,0.0813311036941887,-0.022018127915643115,0.08643851590818827,0.032303629752682125,-0.015819873116949237,-0.04038651563718746,0.08684425560136629,0.031896373534349785
view,0.3881992446753339,0.07840588943054465,0.1810786954738262,0.28175843119009375,0.07172707754626792,0.023192066884379133,0.39450239843658436,1.0,0.04951459861971883,0.24480089095757862,0.16974928247384813,0.2640690213896998,-0.056034651058135314,0.09255071367438206,0.09043398534458771,0.010415606768262113,-0.07950085341263881,0.27612187358396284,0.0715525970991396
condition,0.032884690946629186,0.02514806595942441,-0.13082994110294172,-0.06171754386433617,-0.012745063815801882,-0.260335505936083,0.018100847595946296,0.04951459861971883,1.0,-0.15021300784171807,-0.15797918297426747,0.160153576277717,-0.3679537307482675,-0.06388897996283953,0.0006206577719588638,-0.02289846792996529,-0.10321390744472173,-0.09821873760587428,0.0015543402063115065
grade,0.6606852478793308,0.3484001938164328,0.6621060992543394,0.760478910842287,0.1126420257805567,0.4578876716424259,0.08436967400434563,0.24480089095757862,-0.15021300784171807,1.0,0.7546886542066892,0.16583548304579376,0.4396117068426267,0.013252323415374334,-0.18061237821137754,0.12037875358705066,0.1962418987524277,0.71344663342611,0.11283614091797275
sqft_above,0.6121408636101058,0.47183827286919583,0.685256986052881,0.8760764648883311,0.18085422063621145,0.527335650117976,0.07961267575905433,0.16974928247384813,-0.15797918297426747,0.7546886542066892,1.0,-0.04784556873925797,0.4124642082457974,0.01688163870694478,-0.2546540505000843,0.00915214014243494,0.33677889212596346,0.731528381976931,0.185217424533254
sqft_basement,0.31367407444506473,0.2981344213223604,0.2768113047158663,0.4305382016027179,0.016568721259495062,-0.23699851412381912,0.0813311036941887,0.2640690213896998,0.160153576277717,0.16583548304579376,-0.04784556873925797,1.0,-0.1284641409765933,0.06008320610093652,0.07573350971497222,0.10626918692738277,-0.1399536913572577,0.19943979549475754,0.020024490823247112
yr_built,0.04269307735154494,0.1509413394643833,0.5029303303707764,0.30807345033235856,0.056150500483215876,0.4842481876598857,-0.022018127915643115,-0.056034651058135314,-0.3679537307482675,0.4396117068426267,0.4124642082457974,-0.1284641409765933,1.0,-0.22063839202417698,-0.3422958642225103,-0.14349134475515535,0.4088331653147819,0.31632537719939247,0.07213697946307758
yr_renovated,0.11858377179051906,0.006456663000281474,0.040729790868700204,0.04609461047991123,0.0054495927544778045,-0.0008380971738502647,0.08643851590818827,0.09255071367438206,-0.06388897996283953,0.013252323415374334,0.01688163870694478,0.06008320610093652,-0.22063839202417698,1.0,0.06795788980481132,0.029705957564959508,-0.070139058239611,-0.006639296936367169,0.005549921369488721
zipcode,-0.04315280536541862,-0.14353587649180827,-0.19330894038674346,-0.19228610123300732,-0.1329344048702194,-0.0553112192984765,0.032303629752682125,0.09043398534458771,0.0006206577719588638,-0.18061237821137754,-0.2546540505000843,0.07573350971497222,-0.3422958642225103,0.06795788980481132,1.0,0.2709396422760621,-0.5645307606251575,-0.27720983840383157,-0.15251876977842824
lat,0.3087310438953097,-0.0063357721439079384,0.032828400465910616,0.058841760457725316,-0.08762256363479463,0.0566460688025847,-0.015819873116949237,0.010415606768262113,-0.02289846792996529,0.12037875358705066,0.00915214014243494,0.10626918692738277,-0.14349134475515535,0.029705957564959508,0.2709396422760621,1.0,-0.1381198935626866,0.04938841413078597,-0.09383786362485705
long,0.015185786469497014,0.12469769079617148,0.21821055659164085,0.23450080864774422,0.23417854456764517,0.1264964235319204,-0.04038651563718746,-0.07950085341263881,-0.10321390744472173,0.1962418987524277,0.33677889212596346,-0.1399536913572577,0.4088331653147819,-0.070139058239611,-0.5645307606251575,-0.1381198935626866,1.0,0.3375058821849971,0.26407742377314836
sqft_living15,0.5796868259540392,0.3823670867625231,0.5660400784482044,0.7556158876650457,0.1544072987107686,0.27923942596344353,0.08684425560136629,0.27612187358396284,-0.09821873760587428,0.71344663342611,0.731528381976931,0.19943979549475754,0.31632537719939247,-0.006639296936367169,-0.27720983840383157,0.04938841413078597,0.3375058821849971,1.0,0.19757830265451426
sqft_lot15,0.07726972942061125,0.025264059495790407,0.0788823278371931,0.17738708568684555,0.6891652487739144,-0.015676945471118545,0.031896373534349785,0.0715525970991396,0.0015543402063115065,0.11283614091797275,0.185217424533254,0.020024490823247112,0.07213697946307758,0.005549921369488721,-0.15251876977842824,-0.09383786362485705,0.26407742377314836,0.19757830265451426,1.0
